bias_name,feature,effect,se,z,p_value,ci_low,ci_high,rate_sensitive_per_1k_tokens,rate_not_sensitive_per_1k_tokens,count_sensitive,count_not_sensitive,tokens_sensitive,tokens_not_sensitive,p_fdr,significant,direction
framing effect,cloud_platforms,0.4905799983695335,0.06493551207888988,7.5548799518748675,4.192463607121363e-14,0.36330639469490933,0.6178536020441576,3.588549021018644,2.1971651252778615,399,1281,111187,583024,4.648166173112815e-13,True,sensitive>not
framing effect,api_platform_terms,0.8241057604466782,0.11084261084422115,7.434918342052419,1.0463257858663465e-13,0.6068542431920048,1.0413572777013516,1.79877143910709,0.7889898186009495,200,460,111187,583024,1.0262041361381477e-12,True,sensitive>not
framing effect,performance_judgment,2.8465989502510496,0.4296229167126889,6.625807980710484,3.453538691151623e-11,2.004538033494179,3.68865986700792,0.41371743099463065,0.024012733609594116,46,14,111187,583024,2.590154018363717e-10,True,sensitive>not
framing effect,frontend_perf_accessibility,0.6642705957936753,0.10049431885144797,6.6100313270007724,3.842387044688882e-11,0.4673017308448373,0.8612394607425133,1.3131031505481756,0.6757869315842916,146,394,111187,583024,2.799453418273328e-10,True,sensitive>not
framing effect,performance_scalability,0.5262781079045233,0.08456032835771904,6.223699908995,4.855654248149015e-10,0.360539864323394,0.6920163514856527,3.489616591867754,2.061664699909438,388,1202,111187,583024,2.9480757935190448e-09,True,sensitive>not
framing effect,ml_ai_terms,-1.47847933255406,0.26657480036937575,-5.546208158105812,2.9193125328970066e-08,-2.0009659412780363,-0.9559927238300835,0.22484642988838624,0.9862372732511869,25,575,111187,583024,1.4888493917774734e-07,True,not>sensitive
framing effect,data_db_terms,0.3938532076601345,0.07308380662148663,5.3890625826315635,7.08261411103616e-08,0.2506089466820207,0.5370974686382483,3.687481450169534,2.487033123850819,410,1450,111187,583024,3.473204996758117e-07,True,sensitive>not
framing effect,estimation_uncertainty,-0.34446511683500386,0.0662409000812188,-5.20018774522464,1.990873228138166e-07,-0.4742972809941927,-0.214632952675815,2.4733107287722484,3.4904223496802875,275,2035,111187,583024,9.230412239549678e-07,True,not>sensitive
framing effect,risk_liability,0.4674308165025765,0.09412337374535185,4.9661502547411605,6.829504853355298e-07,0.2829490039616869,0.6519126290434661,1.6998390099562,1.065136255111282,189,621,111187,583024,2.9517351484840697e-06,True,sensitive>not
hindsight bias,cost_finops,-1.2360415255923514,0.17086141446791134,-7.234175893027541,4.683644302381802e-13,-1.5709298979494575,-0.9011531532352451,0.19152118733438872,0.6592085619559106,79,306,412487,464193,4.2654617753834266e-12,True,not>sensitive
hindsight bias,collaboration_conflict,-0.2551085219969606,0.03947161280310284,-6.463088378717241,1.025873350307232e-10,-0.33247288309104217,-0.17774416090287903,3.665570066450579,4.730790856389476,1512,2196,412487,464193,7.26660289800956e-10,True,not>sensitive
hindsight bias,emotion_words,-0.860808600709134,0.14398128664659485,-5.978614448848531,2.2504347910673915e-09,-1.14301192253646,-0.5786052788818081,0.15758072375614263,0.3726898079031782,65,173,412487,464193,1.2475236341786627e-08,True,not>sensitive
hindsight bias,negations,-0.2136532737186555,0.0359894384625926,-5.936554801785157,2.910736514918067e-09,-0.28419257310533697,-0.143113974331974,3.0134283019828505,3.7312066317243042,1243,1732,412487,464193,1.5792293857534195e-08,True,not>sensitive
hindsight bias,documentation_terms,0.3132803122042419,0.055029954487519434,5.692905166317966,1.248957652906211e-08,0.2054216014087038,0.42113902299978,4.211041802529534,3.0784608988071773,1737,1429,412487,464193,6.49967758145069e-08,True,sensitive>not
